	_id	nctid
22	dataverse_10.7910_dvn_yl5usk	NCT03255629
40	dataverse_10.7910_dvn_pvuytd	NCT02612389
56	dataverse_10.7910_dvn_d6zjag	NCT03174236
261	dataverse_10.7910_dvn_ntn7ky	NCT01721798
343	dataverse_10.7910_dvn_kdujxh	NCT02612389
509	qiita_10403	NCT01979016
580	qiita_12534	NCT02207777
691	qiita_14513	NCT02367287
791	mendeley_8px7bz5g3b	NCT01164111
804	mendeley_25v78pp9pg	NCT01515462
849	mendeley_3krd4hrk86	NCT03644732
927	mendeley_63ssmdjmy3	NCT04945759
1019	mendeley_6bxhw3hxmf	NCT02648581
1029	mendeley_ch24bpf65r	NCT01623349
1108	mendeley_ps6zdcbn9b	NCT01991067
1116	mendeley_4pgkkd54n3	NCT04019860
1181	mendeley_5jkzmmtkgk	NCT04811339
1234	mendeley_fx8394xnh4	NCT04069806
