	Ontology	match_eval	avg T2T score	median T2T score	counts	lowest T2T score	std_dev
0	bao	good	0.8626666666666667	0.8626666666666667	138	0.587	0.10353421334676445
1	bao	ok	0.7232222222222222	0.7232222222222222	9	0.627	0.07431146913124813
2	bao	poor	0.7103846153846154	0.7103846153846154	26	0.472	0.11057127182883518
3	chmo	good	0.8648731707317073	0.8648731707317073	205	0.593	0.09778855496705238
4	chmo	ok	0.9057999999999999	0.9057999999999999	5	0.751	0.10197646787372076
5	chmo	poor	0.6332142857142857	0.6332142857142857	28	0.507	0.10522580909392379
6	edam	good	0.8984347826086957	0.8984347826086957	23	0.744	0.08807838765293959
7	edam	ok	0.8534166666666666	0.8534166666666666	24	0.701	0.09000575665969403
8	efo	good	0.88840625	0.88840625	32	0.713	0.08469865344361319
9	efo	ok	0.673	0.673	1	0.673	
10	efo	poor	0.9	0.9	5	0.816	0.09126609447105756
11	mmo	good	0.8673428571428571	0.8673428571428571	175	0.593	0.09398243381267075
12	mmo	poor	0.81615	0.81615	20	0.702	0.05335706434755828
13	ncit	good	0.8819449541284404	0.8819449541284404	218	0.603	0.09999159733014486
14	ncit	invalid	0.8823333333333334	0.8823333333333334	384	0.876	0.004502779337037349
15	ncit	ok	0.8238387096774195	0.8238387096774195	31	0.584	0.11134962858018989
16	ncit	poor	0.7320831024930747	0.7320831024930747	361	0.336	0.10984948676010699
17	obi	good	0.8448666666666667	0.8448666666666667	45	0.681	0.09126973012101895
18	obi	ok	0.79	0.79	3	0.728	0.07830708780180756
19	obi	poor	0.6755	0.6755	8	0.546	0.1358276218489555
