	Repository	Number of Words	avg hallucinations	avg words	avg chars	avg true	counts
0	Harvard Dataverse	0-10	0.9285714285714286	5.142857142857143	74.0	0.07142857142857142	7
1	Harvard Dataverse	11-20	0.75	13.142857142857142	102.28571428571429	0.25	7
2	Harvard Dataverse	21-30	1.0	26.6	193.6	0.0	5
3	Harvard Dataverse	31-40	0.6944444444444445	35.333333333333336	250.0	0.3055555555555555	6
4	Mendeley	0-10	0.8	7.8	63.2	0.2	5
5	Mendeley	11-20	0.9206349206349206	15.333333333333334	112.0	0.07936507936507936	6
6	Mendeley	21-30	0.6333333333333334	25.166666666666668	172.5	0.3666666666666667	6
7	Mendeley	31-40	0.6296296296296297	35.22222222222222	238.44444444444446	0.37037037037037035	9
8	NCBI GEO	31-40	0.5833333333333334	39.0	287.6666666666667	0.4166666666666667	3
9	NCBI SRA	0-10	0.6166666666666667	3.5	64.25	0.3833333333333333	4
10	NCBI SRA	11-20	0.375	17.0	135.66666666666666	0.625	6
11	NCBI SRA	21-30	0.38333333333333336	26.307692307692307	195.0	0.6166666666666666	13
12	NCBI SRA	31-40	0.4333333333333334	36.6	273.8	0.5666666666666667	5
13	Omics Discovery Index (OmicsDI)	0-10	0.2944444444444445	8.38888888888889	72.88888888888889	0.7055555555555555	18
14	Omics Discovery Index (OmicsDI)	11-20	0.14	15.133333333333333	120.86666666666666	0.86	15
15	Omics Discovery Index (OmicsDI)	21-30	0.4444444444444444	23.77777777777778	179.55555555555554	0.5555555555555556	9
16	Omics Discovery Index (OmicsDI)	31-40	0.7142857142857143	35.142857142857146	261.57142857142856	0.2857142857142857	7
17	Vivli	31-40	0.19999999999999996	37.0	278.0	0.8	1
18	Zenodo	0-10	0.8333333333333334	5.833333333333333	48.333333333333336	0.16666666666666666	6
19	Zenodo	11-20	0.5972222222222222	14.666666666666666	108.33333333333333	0.40277777777777773	6
20	Zenodo	21-30	0.5047619047619047	23.285714285714285	161.14285714285714	0.49523809523809526	7
21	Zenodo	31-40	0.6481481481481483	36.888888888888886	295.77777777777777	0.35185185185185186	9
