	Repository	bin	avg hallucinations	avg words	avg chars	avg true	counts
0	Harvard Dataverse	(0, 50]	1.0	2.0	15.0	0.0	2
1	Harvard Dataverse	(50, 100]	0.625	10.333333333333334	79.0	0.375	6
2	Harvard Dataverse	(100, 150]	1.0	10.333333333333334	121.66666666666667	0.0	6
3	Harvard Dataverse	(150, 200]	1.0	26.25	186.0	0.0	4
4	Harvard Dataverse	(200, 250]	0.8541666666666667	30.75	225.25	0.14583333333333331	4
5	Harvard Dataverse	(250, 300]	0.875	39.0	254.5	0.125	2
6	Mendeley	(0, 50]	0.0	6.0	31.0	1.0	1
7	Mendeley	(50, 100]	1.0	10.142857142857142	79.71428571428571	0.0	7
8	Mendeley	(100, 150]	0.9285714285714286	18.0	122.0	0.07142857142857142	2
9	Mendeley	(150, 200]	0.6833333333333333	25.125	171.125	0.31666666666666665	8
10	Mendeley	(200, 250]	0.7333333333333334	33.8	220.6	0.26666666666666666	5
11	Mendeley	(250, 300]	0.5	38.5	280.0	0.5	2
12	NCBI GEO	(0, 50]					0
13	NCBI GEO	(50, 100]					0
14	NCBI GEO	(100, 150]					0
15	NCBI GEO	(150, 200]					0
16	NCBI GEO	(200, 250]					0
17	NCBI GEO	(250, 300]	0.5833333333333334	39.0	287.6666666666667	0.4166666666666667	3
18	NCBI SRA	(0, 50]	0.7333333333333334	3.5	29.5	0.26666666666666666	2
19	NCBI SRA	(50, 100]	0.375	7.5	69.5	0.625	2
20	NCBI SRA	(100, 150]	0.5	13.75	135.75	0.5	4
21	NCBI SRA	(150, 200]	0.385	24.4	178.9	0.615	10
22	NCBI SRA	(200, 250]	0.32666666666666666	27.4	215.2	0.6733333333333333	5
23	NCBI SRA	(250, 300]	0.4333333333333334	36.6	273.8	0.5666666666666667	5
24	Omics Discovery Index (OmicsDI)	(0, 50]	0.8222222222222223	4.333333333333333	36.0	0.17777777777777778	3
25	Omics Discovery Index (OmicsDI)	(50, 100]	0.15555555555555556	9.333333333333334	78.86666666666666	0.8444444444444444	15
26	Omics Discovery Index (OmicsDI)	(100, 150]	0.23333333333333334	14.928571428571429	116.85714285714286	0.7666666666666666	14
27	Omics Discovery Index (OmicsDI)	(150, 200]	0.4166666666666667	22.375	172.625	0.5833333333333333	8
28	Omics Discovery Index (OmicsDI)	(200, 250]	0.33333333333333337	30.25	227.25	0.6666666666666666	4
29	Omics Discovery Index (OmicsDI)	(250, 300]	0.6666666666666667	34.0	262.0	0.3333333333333333	4
30	Vivli	(0, 50]					0
31	Vivli	(50, 100]					0
32	Vivli	(100, 150]					0
33	Vivli	(150, 200]					0
34	Vivli	(200, 250]					0
35	Vivli	(250, 300]	0.19999999999999996	37.0	278.0	0.8	1
36	Zenodo	(0, 50]	1.0	5.0	41.8	0.0	5
37	Zenodo	(50, 100]	0.6666666666666666	11.666666666666666	74.0	0.3333333333333333	3
38	Zenodo	(100, 150]	0.36458333333333337	18.75	134.5	0.6354166666666666	8
39	Zenodo	(150, 200]	1.0	25.5	177.5	0.0	2
40	Zenodo	(200, 250]	0.6333333333333333	32.75	229.0	0.3666666666666667	4
41	Zenodo	(250, 300]	0.75	37.5	285.5	0.25	2
