Acronym 	Full Name 	Code
FIC	John E. Fogarty International Center	TW
NCATS	National Center for Advancing Translational Sciences (NCATS)	TR
NCCIH 	National Center for Complementary and Integrative Health	AT
NCI 	National Cancer Institute	CA
NEI 	National Eye Institute	EY
NHGRI 	National Human Genome Research Institute	HG
NHLBI 	"National Heart, Lung, and Blood Institute"	HL
NIA 	National Institute on Aging 	AG
NIAAA 	National Institute on Alcohol Abuse and Alcoholism	 AA
NIAID 	National Institute of Allergy and Infectious Diseases	 AI
NIAMS 	National Institute of Arthritis and Musculoskeletal and Skin Diseases	AR
NIBIB 	National Institute of Biomedical Imaging and Bioengineering 	EB
NICHD 	Eunice Kennedy Shriver National Institute of Child Health and Human Development	HD
NIDA 	National Institute on Drug Abuse 	DA
NIDCD 	National Institute on Deafness and Other Communication Disorders	 DC
NIDCR 	National Institute of Dental and Craniofacial Research 	DE
NIDDK 	National Institute of Diabetes and Digestive and Kidney Diseases	 DK
NIEHS 	National Institute of Environmental Health Sciences 	ES
NIGMS 	National Institute of General Medical Sciences 	GM
NIMH 	National Institute of Mental Health 	MH
NIMHD 	National Institute on Minority Health and Health Disparities 	MD
NINDS 	National Institute of Neurological Disorders and Stroke 	NS
NINR 	National Institute of Nursing Research 	NR
NLM 	National Library of Medicine 	LM
OD	Office of the Director	OD
