	property	All	Zenodo	AccessClinicalData@NIAID	NCBI+SRA	'ClinEpiDB	ImmPort	VEuPathDB	LINCS	Data+Discovery+Engine	Dryad+Digital+Repository	Vivli	Harvard+Dataverse	HuBMAP	NCBI+GEO	Omics+Discovery+Index+(OmicsDI)	Mendeley
0	name	2770674	208043	7	338998	0	721	3005	424	365	54208	6709	80975	1948	210928	1810261	53828
1	description	2800047	208043	7	309001	0	721	3005	378	365	54196	5064	80975	1948	210928	1871577	53585
2	author	1865160	208043	0	0	0	597	3005	424	365	54208	0	80443	1462	178952	1283582	53828
3	author.name	1865160	208043	0	0	0	597	3005	424	365	54208	0	80443	1462	178952	1283582	53828
4	author.givenName	112419	0	0	0	0	0	0	0	0	54186	0	2943	1462	0	0	53828
5	author.familyName	112409	0	0	0	0	0	0	0	0	54208	0	2911	1462	0	0	53828
6	url	2833167	208043	7	339001	0	721	3005	424	365	54208	6706	80975	1948	210928	1872754	53828
7	measurementTechnique	217610	0	0	0	0	721	3002	420	365	0	0	0	1948	210903	0	0
8	measurementTechnique.name	217610	0	0	0	0	721	3002	420	365	0	0	0	1948	210903	0	0
9	includedInDataCatalog	2833170	208043	7	339001	0	721	3005	424	365	54208	6709	80975	1948	210928	1872754	53828
10	includedInDataCatalog.name	2833170	208043	7	339001	0	721	3005	424	365	54208	6709	80975	1948	210928	1872754	53828
11	distribution	1685871	0	0	0	0	721	1649	424	365	54208	0	80041	486	210928	1283582	53419
12	distribution.contentUrl	1644165	0	0	0	0	721	0	0	365	54208	0	40479	486	210928	1283582	53396
13	distribution.dateModified	54553	0	0	0	0	721	0	0	365	0	0	0	0	0	0	53419
14	funding	230946	17199	7	0	0	721	1260	391	365	18802	6709	32016	0	92200	61234	0
15	funding.funder.name	230553	17199	7	0	0	721	1260	0	365	18800	6709	32016	0	92200	61234	0
16	funding.identifier	167041	0	4	0	0	721	1213	391	365	15522	0	0	0	90052	58732	0
17	date	960092	208043	6	339001	0	721	2910	419	365	54200	6709	80975	1948	210928	0	53828
18	dateCreated	9022	0	0	0	0	0	0	0	365	0	6709	0	1948	0	0	0
19	dateModified	905027	208043	2	339001	0	0	2896	293	365	0	6709	80975	1948	210928	0	53828
20	datePublished	946999	208043	6	339001	0	0	1743	419	0	54200	6709	70149	1934	210928	0	53828
21	citedBy	1194	599	0	0	0	595	0	0	0	0	0	0	0	0	0	0
22	doi	341739	143834	0	0	0	721	0	0	5	54208	6706	80975	1462	0	0	53828
23	infectiousAgent	5011	0	0	0	0	1	0	0	345	0	0	0	0	4665	0	0
24	healthCondition	7188	0	7	0	0	720	0	0	65	0	6213	0	0	0	0	0
25	species	200837	0	0	0	0	660	2222	0	243	0	0	0	0	197712	0	0
26	variableMeasured	1878730	0	0	0	0	0	647	415	0	0	4939	0	0	0	1872729	0
27	citation	354521	0	7	0	0	0	2074	0	148	36146	0	22816	0	154637	120148	18488
28	citation.pmid	277043	0	4	0	0	0	2074	0	126	0	0	0	0	154637	120148	0
29	conditionsOfAccess	262258	208043	7	0	0	0	0	0	0	54208	0	0	0	0	0	0
30	isBasedOn	341940	0	0	339001	0	708	0	271	0	0	0	0	1931	0	0	0
31	keywords	367826	121396	0	0	0	721	0	424	0	41885	6694	78479	1948	0	62404	53827
32	license	326269	195056	0	0	0	721	0	0	14	54208	0	76270	0	0	0	0
33	sdPublisher	1428502	0	0	0	0	0	3005	0	339	0	6708	80975	0	0	1283582	53828
34	spatialCoverage	62556	0	0	0	0	0	0	0	21	16184	4445	41858	0	0	0	0
35	temporalCoverage	65676	0	0	0	0	0	0	0	0	54208	5067	6353	0	0	0	0
36	topicCategory	115947	115947	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	identifier	617748	208043	7	0	0	721	3005	424	365	54208	5055	80975	0	210928	0	53828
38	usageInfo	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
39	interactionStatistic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
